Serial Number,Title,Paragraph
1,Mount Bona,"Mount Bona is one of the major mountains of the Saint Elias Mountains in eastern Alaska, and is the fifth-highest independent peak in the United States.[4]  It is either the tenth- or eleventh-highest peak in North America. Mount Bona and its adjacent neighbor Mount Churchill are both large ice-covered stratovolcanoes.  Bona has the distinction of being the highest volcano in the United States and the fourth-highest in North America, outranked only by the three highest Mexican volcanoes, Pico de Orizaba, Popocatépetl, and Iztaccíhuatl. Its summit  is a small stratovolcano on top of a high platform of sedimentary rocks.[5]"
2,Shiveluch,"Shiveluch (Russian: Шивелуч) is the northernmost active volcano in Kamchatka Krai, Russia. It and Karymsky are Kamchatka's largest, most active and most continuously erupting volcanoes."
3,Pinneberg,"The following 21 files are in this category, out of 21 total."
4,Cavehill,
5,Tschuggen,"The Tschuggen is a mountain of the Plessur Alps, overlooking Arosa in the Swiss canton of Graubünden."
6,Fulhorn,"The Fulhorn is a mountain of the Plessur Alps, overlooking Churwalden in the canton of Graubünden. It lies on the range separating the Domleschg from Lenzerheide."
7,Wüstegarten,"Wüstegarten is a mountain in the counties of Waldeck-Frankenberg and Schwalm-Eder-Kreis in the north of the German state of Hesse. It is in the Kellerwald mountains and has an elevation of 675.3 metres (2,216 ft)."
8,Mount San Antonio,"Mount San Antonio, commonly referred to as Mount Baldy or Old Baldy, is a 10,064 ft (3,068 m) summit in the San Gabriel Mountains on the border of Los Angeles and San Bernardino counties of California.[4][5] Lying within the San Gabriel Mountains National Monument and Angeles National Forest, it is the high point of the range, the county, and the Los Angeles metropolitan area."
9,Santorini,"Santorini (Greek: Σαντορίνη, pronounced [sandoˈrini]), officially Thira (Greek: Θήρα [ˈθira]) and classic Greek Thera (English pronunciation /ˈθɪərə/), is an island in the southern Aegean Sea, about 200 km (120 mi) southeast from the Greek mainland. It is the largest island of a small, circular archipelago, which bears the same name and is the remnant of a caldera. It forms the southernmost member of the Cyclades group of islands, with an area of approximately 73 km2 (28 sq mi) and a 2011 census population of 15,550. The municipality of Santorini includes the inhabited islands of Santorini and Therasia, as well as the uninhabited islands of Nea Kameni, Palaia Kameni, Aspronisi and Christiana. The total land area is 90.623 km2 (34.990 sq mi).[2] Santorini is part of the Thira regional unit.[3]"
10,Piz Ela,"Piz Ela is a mountain in the Albula Alps, overlooking Bergün, in the Swiss canton of Graubünden. It is located in the center of the nature park Parc Ela."
11,Schrattenfluh,"The Schrattenfluh (also spelled Schrattenflue) is a mountain of the Swiss Alps, located in the upper Emmental, in the canton of Lucerne. The Schrattenfluh is composed of several summits of which the highest (2,092 m (6,864 ft)) is named Hengst."
12,Camoghè,"The Camoghè is a mountain of the Lugano Prealps, located east of Camorino in the canton of Ticino. It is the highest mountain that can be seen from Lugano city center."
13,Gross Aubrig,"The Gross Aubrig (1,695 m or 5561 ft ) is a mountain of the Schwyzer Alps, overlooking the lake of Wägital in the canton of Schwyz. It lies north of the Fluebrig, on the range between the valley of the Sihl and the Wägital. Its child peak Chli Aubrig lies to the west."
14,Hohgant,"The Hohgant is a mountain of the Emmental Alps, located south of the Emmental in the canton of Berne. The main summit has an elevation of 2,197 metres above sea level and is distinguished by the name Furggengütsch."
15,Rautispitz,"The Rautispitz is a mountain of the Schwyzer Alps, overlooking Netstal in the canton of Glarus. It lies between the Obersee and the Klöntalersee and culminates at 2,283 metres above sea level. Its summit is generally accessed from the west side, with several trails starting at the Obersee."
16,Picco Luigi Amedeo,"Pic Luigi Amedeo (Italian: Picco Luigi Amedeo, French: Pointe Louis-Amédée) (4,460 metres (14,630 ft)) is a mountain in the Mont Blanc massif in the Aosta Valley, Italy. It lies on the Brouillard ridge to the summit of Mont Blanc, and is only reachable via an ascent of that ridge.[1][2]: 207"
17,Mont Maudit,"Mont Maudit (4,465 m) is a mountain in the Mont Blanc massif in France and Italy. The French name literally means ""Cursed Mountain"". Until the end of the 18th century, Mont Blanc and its satellite peaks were collectively known in French as the Montagne Maudite."
18,Parrotspitze,"The Parrotspitze (in Italian, the Punta Parrot) (4,432 m) is a peak in the Pennine Alps of Italy and Switzerland. It is located south of Dufourspitze in the Monte Rosa Massif. The mountain is named after Johann Jakob Friedrich Wilhelm Parrot, a German doctor, who made an attempt on the Piramide Vincent with Joseph Zumstein in 1816."
