item,itemLabel
http://www.wikidata.org/entity/Q48691,Mount Bona
http://www.wikidata.org/entity/Q48877,Shiveluch
http://www.wikidata.org/entity/Q50734,Pinneberg
http://www.wikidata.org/entity/Q56693,Cavehill
http://www.wikidata.org/entity/Q58277,Tschuggen
http://www.wikidata.org/entity/Q58279,Fulhorn
http://www.wikidata.org/entity/Q127627,Wüstegarten
http://www.wikidata.org/entity/Q128657,Mount San Antonio
http://www.wikidata.org/entity/Q129296,Santorini
http://www.wikidata.org/entity/Q16531,Piz Ela
http://www.wikidata.org/entity/Q16532,Schrattenfluh
http://www.wikidata.org/entity/Q16534,Camoghè
http://www.wikidata.org/entity/Q16535,Gross Aubrig
http://www.wikidata.org/entity/Q16536,Hohgant
http://www.wikidata.org/entity/Q16537,Rautispitz
http://www.wikidata.org/entity/Q30411,Picco Luigi Amedeo
http://www.wikidata.org/entity/Q30415,Mont Maudit
http://www.wikidata.org/entity/Q30418,Parrotspitze
http://www.wikidata.org/entity/Q30423,Ludwigshöhe
http://www.wikidata.org/entity/Q126717,Gunung Telagabodas
http://www.wikidata.org/entity/Q126804,Mount Erciyes
http://www.wikidata.org/entity/Q126868,Lizumer Reckner
http://www.wikidata.org/entity/Q127579,Mons Herodotus
http://www.wikidata.org/entity/Q62467,Coma Pedrosa
http://www.wikidata.org/entity/Q62624,Aurès Mountains
http://www.wikidata.org/entity/Q63418,Osina
http://www.wikidata.org/entity/Q68340,Dunsinane Hill
http://www.wikidata.org/entity/Q130533,Kleiner Winterberg
http://www.wikidata.org/entity/Q130544,Mount Juneau
http://www.wikidata.org/entity/Q130591,Srđ
http://www.wikidata.org/entity/Q130736,Nanga Parbat
http://www.wikidata.org/entity/Q16539,Schreckhorn
http://www.wikidata.org/entity/Q16540,Breithorn
http://www.wikidata.org/entity/Q16541,Nesthorn
http://www.wikidata.org/entity/Q16542,Mürtschenstock
http://www.wikidata.org/entity/Q30450,Vincent Pyramid
http://www.wikidata.org/entity/Q30453,Grandes Jorasses
http://www.wikidata.org/entity/Q30455,Rimpfischhorn
http://www.wikidata.org/entity/Q30457,Strahlhorn
http://www.wikidata.org/entity/Q16543,Monte San Salvatore
http://www.wikidata.org/entity/Q16544,Hundwiler Höhi
http://www.wikidata.org/entity/Q16545,Piz Beverin
http://www.wikidata.org/entity/Q16546,Badus
http://www.wikidata.org/entity/Q16548,Alperschällihorn
http://www.wikidata.org/entity/Q16589,Bachtel
http://www.wikidata.org/entity/Q16590,Ortstock
http://www.wikidata.org/entity/Q16592,Brünnelistock
http://www.wikidata.org/entity/Q16612,Piz Daint
http://www.wikidata.org/entity/Q16613,Stanserhorn
http://www.wikidata.org/entity/Q16614,Gross Windgällen
http://www.wikidata.org/entity/Q72303,Mount Agri
http://www.wikidata.org/entity/Q73077,Pic du Midi d'Ossau
http://www.wikidata.org/entity/Q73379,Maja e Ershellit
http://www.wikidata.org/entity/Q73420,Pic de Bugarach
http://www.wikidata.org/entity/Q73515,Dešat
http://www.wikidata.org/entity/Q129571,Cerro San José
http://www.wikidata.org/entity/Q129698,Abajo Peak
http://www.wikidata.org/entity/Q129705,Mount Timpanogos
http://www.wikidata.org/entity/Q130018,Denali
http://www.wikidata.org/entity/Q60888,Bützistock
http://www.wikidata.org/entity/Q60890,Mont Rouge
http://www.wikidata.org/entity/Q60892,Dent du Salantin
http://www.wikidata.org/entity/Q60893,Poncione Rosso
http://www.wikidata.org/entity/Q60916,Spitzmeilen
http://www.wikidata.org/entity/Q60923,Crap Masegn
http://www.wikidata.org/entity/Q60967,Mount Kinabalu
http://www.wikidata.org/entity/Q583,Mont Blanc
http://www.wikidata.org/entity/Q16650,Lagginhorn
http://www.wikidata.org/entity/Q16651,Furggelenstock
http://www.wikidata.org/entity/Q16652,Gspaltenhorn
http://www.wikidata.org/entity/Q16653,Le Rubli
http://www.wikidata.org/entity/Q16654,Rienzenstock
http://www.wikidata.org/entity/Q16655,Regitzer Spitz
http://www.wikidata.org/entity/Q16549,Piz Surlej
http://www.wikidata.org/entity/Q16550,Breithorn
http://www.wikidata.org/entity/Q16585,Gäbris
http://www.wikidata.org/entity/Q16586,Moléson
http://www.wikidata.org/entity/Q16588,Piz Buin
http://www.wikidata.org/entity/Q791,Taumatawhakatangihangakōauauotamateapōkaiwhenuakitānatahu
http://www.wikidata.org/entity/Q30441,Grand Pilier d'Angle
http://www.wikidata.org/entity/Q30444,Stecknadelhorn
http://www.wikidata.org/entity/Q30446,Castor
http://www.wikidata.org/entity/Q30448,Hohberghorn
http://www.wikidata.org/entity/Q16681,Fänerenspitz
http://www.wikidata.org/entity/Q16688,Silvrettahorn
http://www.wikidata.org/entity/Q16690,Wildhuser Schafberg
http://www.wikidata.org/entity/Q16693,Niesen
http://www.wikidata.org/entity/Q16701,Schiahorn
http://www.wikidata.org/entity/Q16708,Wissigstock
http://www.wikidata.org/entity/Q16712,Piz Nair
http://www.wikidata.org/entity/Q16615,Brisen
http://www.wikidata.org/entity/Q16616,Born
http://www.wikidata.org/entity/Q16617,Piz Terri
http://www.wikidata.org/entity/Q16629,Oberbauenstock
http://www.wikidata.org/entity/Q16630,Piz Varuna
http://www.wikidata.org/entity/Q16631,Piz Segnas
http://www.wikidata.org/entity/Q1024,Triglav
http://www.wikidata.org/entity/Q1248,Viso
http://www.wikidata.org/entity/Q30472,Aiguille Blanche de Peuterey
http://www.wikidata.org/entity/Q30476,Grande Rocheuse
